,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
World Population Prospects 2019,,,,,,,,,,,,,,,,,,,,
"File MORT/7-1: Life expectancy at birth (both sexes combined) by region, subregion and country, 1950-2100 (years)",,,,,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2020",,,,,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2019/MORT/F07-1,,,,,,,,,,,,,,,,,,,,
"ý August 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition. Rev. 1.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,Life expectancy at birth for both sexes combined (years),,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
69,Estimates,Ghana,,288,Country/Area,914,42.17,44.67,46.90,48.62,50.03,51.60,53.06,55.32,57.78,57.00,57.50,60.13,61.82,63.65
70,Estimates,Guinea,,324,Country/Area,914,33.08,34.33,35.38,36.14,37.43,39.89,43.09,47.96,51.32,51.63,51.34,55.55,58.01,61.04
71,Estimates,Guinea-Bissau,,624,Country/Area,914,35.59,36.86,38.17,39.88,41.42,43.14,44.93,46.30,47.91,49.45,51.35,53.31,55.94,57.82
72,Estimates,Liberia,,430,Country/Area,914,32.62,33.74,35.05,37.87,40.93,44.53,46.97,46.62,46.20,50.82,52.77,58.10,60.73,63.60
73,Estimates,Mali,,466,Country/Area,914,26.96,27.98,28.61,30.80,34.20,37.71,41.55,44.51,46.57,46.75,49.96,54.02,56.24,58.71
74,Estimates,Mauritania,,478,Country/Area,914,39.57,42.71,46.16,49.35,51.31,53.53,56.34,58.89,60.15,60.56,60.94,61.91,63.21,64.61
75,Estimates,Niger,,562,Country/Area,914,34.50,34.82,35.29,35.62,36.32,37.76,40.26,42.27,45.01,48.36,51.57,55.34,59.16,61.80
76,Estimates,Nigeria,,566,Country/Area,914,33.81,35.80,38.13,39.97,42.03,44.29,46.02,45.95,45.87,46.00,46.94,49.76,51.95,54.18
77,Estimates,Senegal,,686,Country/Area,914,35.47,37.49,38.62,38.42,40.91,46.50,51.27,56.05,57.59,57.24,58.93,62.55,65.74,67.47
78,Estimates,Sierra Leone,,694,Country/Area,914,28.79,30.73,32.47,34.83,37.32,39.40,40.54,39.72,37.56,37.61,42.03,46.99,51.42,54.07
