,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
World Population Prospects 2019,,,,,,,,,,,,,,,,,,,,
"File MORT/1-1: Infant mortality rate (both sexes combined) by region, subregion and country, 1950-2100 (infant deaths per 1,000 live births)",,,,,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2020",,,,,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2019/MORT/F01-1,,,,,,,,,,,,,,,,,,,,
"ý August 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition. Rev. 1.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Infant mortality rate, 1q0, for both sexes combined (infant deaths per 1,000 live births)",,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
51,Estimates,Chad,,148,Country/Area,911,   186,   177,   168,   159,   146,   138,   130,   123,   119,   114,   108,   98,   84,   75
52,Estimates,Congo,,178,Country/Area,911,   134,   121,   108,   97,   86,   76,   67,   60,   64,   74,   72,   52,   41,   35
53,Estimates,Democratic Republic of the Congo,,180,Country/Area,911,   166,   157,   151,   143,   134,   129,   121,   116,   110,   113,   99,   84,   73,   65
54,Estimates,Equatorial Guinea,,226,Country/Area,911,   167,   163,   158,   154,   149,   143,   131,   125,   116,   106,   95,   85,   74,   66
55,Estimates,Gabon,,266,Country/Area,911,   160,   154,   149,   134,   118,   100,   83,   67,   64,   62,   60,   50,   42,   35
56,Estimates,Sao Tome and Principe,,678,Country/Area,911,   138,   126,   112,   100,   87,   74,   71,   77,   79,   71,   56,   42,   32,   26
57,Estimates,Southern Africa,,913,Subregion,947,   134,   121,   113,   103,   89,   72,   57,   47,   43,   50,   56,   50,   35,   29
58,Estimates,Botswana,,72,Country/Area,913,   128,   112,   99,   85,   71,   56,   44,   36,   42,   56,   57,   44,   35,   30
59,Estimates,Eswatini,,748,Country/Area,913,   145,   138,   130,   121,   108,   89,   69,   53,   54,   76,   86,   74,   52,   41
60,Estimates,Lesotho,,426,Country/Area,913,   128,   118,   115,   114,   105,   91,   74,   64,   63,   73,   79,   75,   65,   62
61,Estimates,Namibia,,516,Country/Area,913,   144,   131,   115,   101,   88,   76,   69,   55,   50,   51,   51,   43,   39,   33
62,Estimates,South Africa,,710,Country/Area,913,   134,   121,   112,   103,   89,   71,   56,   46,   41,   47,   54,   48,   33,   27
63,Estimates,Western Africa,,914,Subregion,947,   196,   182,   169,   156,   145,   132,   123,   120,   116,   108,   95,   81,   68,   57
64,Estimates,Benin,,204,Country/Area,914,   208,   192,   176,   163,   151,   135,   124,   114,   102,   93,   84,   75,   68,   61
65,Estimates,Burkina Faso,,854,Country/Area,914,   228,   209,   192,   172,   153,   133,   119,   110,   104,   99,   90,   78,   65,   54
66,Estimates,Cabo Verde,,132,Country/Area,914,   131,   128,   124,   109,   96,   70,   62,   54,   47,   37,   24,   23,   21,   17
67,Estimates,C_te d'Ivoire,,384,Country/Area,914,   189,   178,   162,   144,   129,   115,   105,   102,   100,   99,   88,   77,   67,   60
68,Estimates,Gambia,,270,Country/Area,914,   156,   150,   144,   127,   113,   101,   90,   82,   76,   67,   59,   52,   50,   45
69,Estimates,Ghana,,288,Country/Area,914,   147,   133,   122,   113,   106,   99,   93,   83,   72,   67,   61,   54,   45,   36
70,Estimates,Guinea,,324,Country/Area,914,   207,   200,   195,   192,   185,   171,   156,   142,   128,   112,   95,   78,   66,   52
71,Estimates,Guinea-Bissau,,624,Country/Area,914,   163,   160,   157,   151,   146,   141,   134,   130,   125,   115,   104,   85,   68,   57
72,Estimates,Liberia,,430,Country/Area,914,   165,   165,   163,   157,   150,   144,   139,   149,   156,   136,   100,   73,   60,   54
73,Estimates,Mali,,466,Country/Area,914,   242,   224,   207,   191,   176,   163,   151,   139,   127,   121,   107,   89,   78,   66
74,Estimates,Mauritania,,478,Country/Area,914,   148,   137,   122,   109,   103,   97,   87,   76,   70,   70,   69,   66,   59,   53
75,Estimates,Niger,,562,Country/Area,914,   161,   161,   158,   156,   151,   139,   133,   139,   130,   103,   85,   68,   56,   46
76,Estimates,Nigeria,,566,Country/Area,914,   200,   186,   173,   159,   147,   134,   125,   126,   126,   119,   104,   89,   75,   62
